,review_body
1485,I have a few of these for classes. They spend more time under warranty repair than they do in the classroom. Spend a little more for an hp or dell. Lesson learned.
1486,"Producto de calidad, es de cuerpo metálico, aunque tiene poca memoria RAM tiene un slot para expandirla, así mismo trae el mecanismo para aumentarle el almacenamiento interno. Para un estudiante está más que suficiente siempre y cuando sea lo básico. Si necesitas instalar programas profesionales no te puede ser suficiente en cuanto a rendimiento. De lo demás, la mejor compra que he hecho."
1487,"This laptop comes with a kit to add an additional SSD or HDD, but the connection socket for the cable will not lock on, making installation impossible.  This same issue was present in the first PC I ordered and the replacement I received as well.  Poor quality components make for nonfunctional equipment and unhappy customers.  Advise you stay far away from this one."
1488,"Great laptop for the price! Sturdy build, great screen image and size. I did add a 16GB module and an SK Hynix Gold S31 SSD 1TB internal drive. Love the keyboard back lighting and have no complaints."
1489,I won't have thought it possible......for Microsoft to come up with a more user hostile....counter intuitive.....pile of crap that is actually WORSE then windows 10. BUT THEY DID! Windows 11 makes Windows 10 look great by comparison!!
1490,"Great laptop! Only downside is there's no indicator from we capslock is on, which can be a pain when it's accidentally toggled when typing in passwords, etc. Other than that, love it!"
1491,Only has one ram slot and a soldered on 4gb of ram so can upgrade enough and the hard drive can be added I like the ability to choose your own hard drive size to put in instead of being stuck with a low amount... Less ewaste.  Also speaking of the hard drive I had read a review about the hard drive ribbon cable connector you cannot lift up you have to unscrew the Wi-Fi chip to be able to lift a little tab for the hard drive ribbon cable see picture
1492,Windows in S mode does not support Zoom. You will need to disable S mode for video conferencing. The Ryzen 3 processor cannot support virtual backgrounds so you won’t be able to blur your background for meetings. I would not recommend this laptop for any professional use.
1493,"I bought this for my wife, who does e-Bay, Skype calls to family, normal business stuff and no gaming. I was very surprised that it have better performance than I expect for an entry level machine. The screen and keyboard are magnificent."
1494,"Great laptop for the price, I don't think you can find a laptop this great at this price point. Appearance looks great, great build quality, keyboard does not at all feel cheap at all and the keyboard backlight is a great touch. Very lightweight. Touch pad is large and responsive. I have not tried the fingerprint scanner yet. Decently fast boot up times given it has an SSD. Battery life is actually pretty great, too. I am happy with the ports, it even has a USB C port. Screen gets very bright."
1495,Horrible Slow out of the box . Simple things like running You tube from Microsoft store won’t work . As many users say Windows 10 S is horribly constricting and most apps do not run well.
