,Software Sentences,Software Polarity
5037,i will not have thought it possible......for microsoft to come up with a more user hostile....counter intuitive.....pile of crap that is actually worse then windows 10. but they did!,Negative
5038,"now those same games set me at ""high"" or ""ultimate"" graphic settings.",Positive
5039,i will update this post as time progresses.,Neutral
5040,i installed elementaryos 5.1.6 (ubuntu-based linux distribution) as soon as i got this and it works great. | almost no problems except when performing a lot of tasks at once where it may freeze (this seems to be a common issue among linux and windows users). | bought an externally powered fan and the crashes have mostly stopped.,Positive
5041,most quality computer for the money.,Positive
5042,i do not do too much heavy lifting with it and use it mostly for web surfing.i only wish more apps from the play store would work especially microsoft edge.,Positive
5043,i saw some negative comments about windows s being a trap or worse and there is only one thing for you to know: anyone who is willing to spend 10 seconds to search the internet for information on how to switch your windows s version to a normal windows version will see that there is free app in the microsoft store that does that with a few clicks.,Negative
5044,"i just really need something that i can use to write papers, use microsoft office on, and take notes.",Positive
5045,"i use it for most everything but gaming, i am not a gamer.",Positive
5046,"i did research before purchasing this and the red dotted line was never mentioned under reviews, so hopefully after my review it does for all that need to know this is a possibility and out of pocket expense for a new laptop, in my opinion, that should be fixed for free.",Positive
5047,this chrome book is for work and doing modules plus with these modules i can watch the videos that are attach with it .,Neutral
5048,this is a great laptop for using heavy size programs like all the programs for adobe,Positive
5049,it performs perfectly for my purposes.,Positive
5050,return window closed 6/26/20.,Negative
5051,lots of programs downloaded on it and they all run great.,Positive
5052,most applications load very quickly - faster than i anticipated with a mid-range processor. | which cost 4 times as much.,Positive
5053,first and foremost - there is no caps lock indicator anywhere.,Positive
5054,excellent laptop for most work.,Positive
5055,"that is unfortunate because i bought the laptop to stream videos on... i have learned to either connect my own speakers or headphones, otherwise it is impossible to hear the volume.",Negative
