,Performance Sentences,Performance Polarity
2169,"ok so i think this laptop is really good,excellent picture,great design,very lightweight,the light up keyboard is really nice(i just got to learn if it can change colors or not though),it boots up really fast,the fingerprint scanner works like it is intended and it is a great addition,my only gripe with this laptop is the fact it comes with an annoying color that makes the screen a little yellow-ish due to some program,so while in a white screen like this one it is coloration makes it look beige-ish,which is annoying,i got to learn on how to delete it so it can go back to actual white screen and not beige-ish,the volume on it though is lacking and it pretty much requires you to either get an external speaker or to download a volume booster app which sucks cause there is no free ones just 7 days trials one which sucks,,oh and also the small ssd hard drive which is 128gb is disappointing but i do have an external hard drive that this laptop supports just fine so it is not too big a deal,idk i like it so far the packaging was very nice and it was delivered on time as expected,it is a really great laptop,now i have not tested out every feature yet but i will soon,if there is any change in my opinion i will redo this review,for now i think it is worth the price,i hope this review helps,peace!",Positive
2170,upgraded the ram to 8 gigs for $17.,Neutral
2171,i have been a lifelong windows user and because of the lack of decent storage on the windows operating system and lack of ram on the laptop itself i figured i would give chome a shot and so far i like it.,Positive
2172,"yes, they make a ok operating system, but they make computers that cannot be repaired by taking out the ssd or ram sticks and putting new ones in.",Positive
2173,"i am not a gamer, or into heavy graphics. | if you need a basic laptop that has great screen size and resolution, a numbers pad, and a decently fast processor this asus is for you.",Positive
2174,"it has a 14” fhd display, intel core i3-1115g4 processor, 4gb ddr4, 128gb pcie ssd, and a fingerprint reader. | this laptop only has 4 gb of ram and uses a tiger lake mobile cpu. | it does come with built in uhd graphics so it will run some games for you however do not expect it to run anything demanding.",Neutral
2175,i only use this laptop for work which is a program.,Neutral
2176,the i-5 processor and 8gb of memory and 128 gb of ssd put it up with the best windows laptops.,Positive
2177,"this review is for the lenovo ideapad 3 laptop, 14.0"" fhd display, amd ryzen 5 5500u, 8gb ram, 256gb storage, amd radeon 7 graphics",Neutral
2178,"(for developers guys) the rest all very well, the screen, and the sound, and options are good, we only recommend a base for macbook, for some heat in the down of the laptop, but i think is because do not have forced ventilation for the processor.",Positive
2179,do not buy unless you are willing to put in some extra money for this laptop.i have bought the vega 3 version and after i have tweaked some settings i have been able to run warframe at a constant 60 fps for most maps.i can also run war thunder from 30-60 fps on low/med settings.most lighter games will run pretty well...in fact i was surprised with the performance.casually this laptop is extremely good and it can watch videos in 4k without much lag if not any at all.with each model you really get what you pay for.i suggest this if you are a college student on a budget or just want to get your children or grandchildren something to use for school work and other things.,Positive
2180,"great laptop for the price, i kept the original m.2 for now but added a second ssd and 16 gb of ram, took it out of s mode and could not be happier. | mostly use for learning programming but added a few games and it runs them decently it is not a gaming computer but it does alright.",Positive
2181,"the games i have working on the ultra quality for graphics, waiting to get more games to test it more.",Positive
2182,8gb of ram is more than enough for my online college classes but there is also space to expand this if you need to. | it can run games like fortnite but it only runs on the lowest graphics setting and gets hot fast so if you are looking to do more online popular games i would suggest a different laptop with better specs all around.,Positive
2183,"hard to beat the price/performance ratio you can get out of this machine at $1399 with the i7, 16gb ram, and rtx 2070 max-p. i briefly considered getting the ge66 with 2070 super but the premium is just not worth the modest performance boost. | would have been nice to see this machine with an amd ryzen cpu option, but alas...",Positive
2184,i upgraded ram and memory.,Neutral
2185,the ryzen cpu and radeon graphics are great.,Positive
2186,and so far it has run ever program without any trouble at all so definitely powerful enough for almost every video game at the moment.,Negative
2187,"this means that you cannot change it out of s mode, meaning you cant install any programs.",Neutral
2188,i did a return/replace and the second macbook was not as bad cosmetically but had programs installed in the file system that are not native.,Negative
2189,"only 4 cores...... the laptop i went with was the exact same price with the same graphics card, 16gb of ram, rgb keyboard and an eight core i7-11800h which leaves this laptop in the dust. | soldered on 8gb of ram leaving only one ram slot for upgrades, pcie 3.0. the gateway has much more upgradability options, a webcam, rgb keyboard, dual ram slots with a max of 64gb, and pcie gen4 m.2 slots.",Positive
2190,"comparing to many brands hp, acer, dell, etc this is a rocket based on price, speed, image, performance, everything.",Positive
2191,i also use it to mine eth and it is clocking at 46mh/s and that is great given i have not even tried overclocking the gpu yet.,Positive
2192,"added 4 gb of ddr4 ram and a second ssd 500 gb drive, i am very happy with this, it is my first laptop, love it!",Positive
2193,"price looked great, but performance was disappointing.",Positive
