,Battery Sentences,Battery Polarity
1393,"the internal battery lasted 2-4 days and wont recharge. | its not dell, its the battery. | i will never buy a laptop unless i can order a replacement battery.",Neutral
1394,"this mac has the best storage, sowed, and battery life!",Positive
1395,plus outperforms most while having a over 12 hour battery life.,Positive
1396,use this laptop for work-no touchscreen-speed and battery life exceed my needs-acer brand has not let me down yet and this is my 3rd one-definitely recommend the brand,Negative
1397,"the battery life is terrible (2 hours on average). | when unplugged (using battery), the gpu runs half powered and is cooler, but with a 2 hour battery life, you have to constantly plug it in to use it.",Negative
1398,"i am starting professional school soon and i needed a laptop that could run basic software, have decent battery life, and be reasonably priced.",Positive
1399,while it might be light weight& the battery life is good and a inexpensive option clearly it is got a lot of screen problems/inner hardware issues.,Positive
1400,absolutely unusable on battery.,Positive
1401,really great gaming laptop but the battery live is horrendous.,Positive
1402,battery life is fine i think once it charged it can run 5-6 hour without needing to charge it again.,Positive
1403,battery life on a aaa title is going to be 20 mins maybe.,Neutral
1404,i am not sure how great the battery life is yet as this is my first day with it.,Positive
1405,"slim and light, upgradable ram and storage, fast ssd, 15"" 1080p screen, and long battery life, this machine has great value.",Positive
1406,battery life is great & it is so sleek that we can take it anywhere without it taking up space.,Positive
1407,"i only charge it every few days, battery is awesome on it so far.",Positive
1408,removed battery and that worked.,Neutral
1409,"after 3 days, i got a ""critically low battery"" warning and it was plugged in.",Neutral
1410,"incredible battery life. | my last laptop (dell) cost $900 vs new $189 new chromebook--that is faster, has better screen quality, has incredible battery life and is less bulky.",Positive
1411,"i often need to take conferences away from home and any source of power to charge my laptop, as a previous owner of a gaming laptop, it was a terrible situation to be in since battery would not last longer than 2 hours. | i decided to buy this laptop specifically for the long battery claims, and it was my best decision ever. | no longer need to worry about low battery levels, m1 chip is a step up.",Positive
1412,"not sure about battery life, as i just purchased.",Negative
1413,it sucks first day of receiving the screen blacked out on me i would have to battery restart it every time i wanted to use it,Negative
1414,"after a month, i am very pleased with the functionality and battery life of this device.",Positive
1415,"the wifi randomly decided to stop functioning, the power shuts off at random intervals without the battery life actually going down, and as a whole it is probably just not worth the trouble.",Negative
1416,"just do not try to game on battery alone, when the system is cranking in game mode it smashes the battery charge in about an hour. | when not gaming and just watching netflix or web browsing you get a much better battery charge play time.",Positive
